AUFNR,QMNUM,GSTRP,GLTRP,TPLNR,EQUNR,QMTXT,LTXTAUFK,AUART,ARBPL,ERNAM
4000368,20000368,2024-04-01 08:36:00+00:00,2024-04-01 09:49:00+0000,PGS-PR-LA4-BAN01,10004001,micro-paro linea,Ver OT anterior. micro-paro linea,PM03,OPR-TURNO,OPR_T1
4000370,20000370,2024-04-01 17:04:00+00:00,2024-04-01 18:35:00+0000,PGS-PR-LA4-BAN01,10004001,FALLA SENS. OPTICO,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,SYS_IIOT
4000367,20000367,2024-04-01 21:46:00+00:00,2024-04-02 01:15:00+0000,PGS-PR-LA4-BUF01,10004002,reinicio de ciclo HMI,idem anterior,PM03,OPR-TURNO,BAT_USER
4000369,20000369,2024-04-01 22:18:00+00:00,2024-04-02 00:38:00+0000,PGS-PR-LA4-ENV01,10004003,m.paro oper,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,SYS_SCADA
4000374,20000374,2024-04-02 08:32:00+00:00,2024-04-02 10:57:00+0000,PGS-PR-LA4-ENV01,10004003,MICROPARO,ok,PM03,OPR-TURNO,BAT_USER
4000372,20000372,2024-04-02 08:43:00+00:00,2024-04-02 11:06:00+0000,PGS-PR-LA4-TDF01,10004005,Falla sens. prox,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,SYS_IIOT
4000274,20000274,2024-04-02 14:05:32+00:00,2024-04-02 16:27:32+0000,PGS-PR-LA4-ENV01,10004003,MTO PREV. PROGRAMADO,Se realizo la inspeccion visual y lubricacion de partes móviles segun plan de mantenimiento.,PM02,MEC-PREV,BAT_USER
4000371,20000371,2024-04-02 14:46:00+00:00,2024-04-02 17:28:00+0000,PGS-PR-LA4-TDF01,10004005,micro-paro linea,"ATASCO DE PRODUCTO EN LA LÍNEA, RESUELTO POR EL OPERARIO DE TURNO EN POCOS MINUTOS.",PM03,SUP-LINEA,SYS_IIOT
4000242,20000242,2024-04-02 17:23:47+00:00,2024-04-07 02:10:47+0000,PGS-PR-LA5-PRE01,10005001,CAMBIO CONSUM,idem anterior,PM02,MEC-PREV,MEC_01
4000239,20000239,2024-04-02 19:39:50+00:00,2024-04-09 15:54:50+0000,PGS-PR-LA2-TF101,10002005,INSPECCION,"Intervencion rapida, sin repuestos",PM02,INSP-GEN,RPEREZ
4000373,20000373,2024-04-02 22:42:00+00:00,2024-04-03 01:12:00+0000,PGS-PR-LA4-TDF01,10004005,fallo sensor temp,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,SYS_IIOT
4000377,20000377,2024-04-03 07:27:00+00:00,2024-04-03 09:09:00+0000,PGS-PR-LA4-RPL01,10004006,ATASCO PROD,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,OPR-TURNO,BAT_USER
