OT,Aviso,Fecha_Inicio,Fecha_Fin,Linea,Equipo,Titulo_Falla,Descripcion_Tecnica,Tipo_Mantenimiento,Puesto_Trabajo,Responsable
OT1000368,AV2000368,2024-04-01 08:36:00.000000,2024-04-01 10:28:00,Línea 4 - Alfajores,Bañadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000370,AV2000370,2024-04-01 17:04:00.000000,2024-04-01 18:05:00,Línea 4 - Alfajores,Bañadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000367,AV2000367,2024-04-01 21:46:00.000000,2024-04-01 23:28:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000369,AV2000369,2024-04-01 22:18:00.000000,2024-04-01 22:42:00,Línea 4 - Alfajores,Envasadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000374,AV2000374,2024-04-02 08:32:00.000000,2024-04-02 10:28:00,Línea 4 - Alfajores,Envasadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000372,AV2000372,2024-04-02 08:43:00.000000,2024-04-02 10:04:00,Línea 4 - Alfajores,Túnel de frío,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000274,AV2000274,2024-04-02 14:05:32.546759,2024-04-04 01:23:32,Línea 4 - Alfajores,Envasadora,Mantenimiento Preventivo Programado,Se realizó la inspección visual y lubricación de partes móviles según plan de mantenimiento.,Preventivo,MEC_01,Sistema Automático
OT1000371,AV2000371,2024-04-02 14:46:00.000000,2024-04-02 16:18:00,Línea 4 - Alfajores,Túnel de frío,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000242,AV2000242,2024-04-02 17:23:47.418723,2024-04-03 22:01:47,Línea 5 - Galleta exportada,Preparación,Cambio de Consumibles,Ajuste de tensiones y calibración de sensores ópticos.,Preventivo,MEC_01,Sistema Automático
OT1000239,AV2000239,2024-04-02 19:39:50.064736,2024-04-03 09:09:50,Línea 2 - Galleta tipo oblea,Túnel de frío N°1,Inspección de Rutina,Cambio de filtros y revisión de parámetros de operación estándar.,Preventivo,MEC_01,Sistema Automático
